"Catálogo de régimen fiscal.",,,
"Fecha inicio de vigencia","Fecha fin de vigencia","Versión","Revisión"
01/01/2017,,1.0,"A"
,,,
,,"Aplica para tipo persona",
"c_RegimenFiscal","Descripcion","Física","Moral"
601,"General de Ley Personas Morales","No","Sí"
603,"Personas Morales con Fines no Lucrativos","No","Sí"
605,"Sueldos y Salarios e Ingresos Asimilados a Salarios","Sí","No"
606,"Arrendamiento","Sí","No"
608,"Demás ingresos","Sí","No"
609,"Consolidación","No","Sí"
610,"Residentes en el Extranjero sin Establecimiento Permanente en México","No","No"
611,"Ingresos por Dividendos (socios y accionistas)","Sí","No"
612,"Personas Físicas con Actividades Empresariales y Profesionales","Sí","No"
614,"Ingresos por intereses","Sí","No"
616,"Sin obligaciones fiscales","Sí","No"
620,"Sociedades Cooperativas de Producción que optan por diferir sus ingresos","No","Sí"
621,"Incorporación Fiscal","Sí","No"
622,"Actividades Agrícolas, Ganaderas, Silvícolas y Pesqueras","Sí","Sí"
623,"Opcional para Grupos de Sociedades","No","Sí"
624,"Coordinados","No","Sí"
628,"Hidrocarburos","No","Sí"
607,"Régimen de Enajenación o Adquisición de Bienes","No","Sí"
629,"De los Regímenes Fiscales Preferentes y de las Empresas Multinacionales","Sí","No"
630,"Enajenación de acciones en bolsa de valores","Sí","No"
615,"Régimen de los ingresos por obtención de premios","Sí","No"
