
'1', '001', 'Aguascalientes', '1', '1', '2017-04-27 20:32:18', '2017-04-27 20:32:18'
'13', '002', 'Mexicali', '1', '2', '2017-04-27 20:32:18', '2017-04-27 20:32:18'
'19', '003', 'La Paz', '1', '3', '2017-04-27 20:32:18', '2017-04-27 20:32:18'
'23', '002', 'Campeche', '1', '4', '2017-04-27 20:32:18', '2017-04-27 20:32:18'
'62', '030', 'Saltillo', '1', '5', '2017-04-27 20:32:18', '2017-04-27 20:32:18'
'72', '002', 'Colima', '1', '6', '2017-04-27 20:32:18', '2017-04-27 20:32:18'
'180', '101', 'Tuxtla Gutiérrez', '1', '7', '2017-04-27 20:32:18', '2017-04-27 20:32:18'
'217', '019', 'Chihuahua', '1', '8', '2017-04-27 20:32:18', '2017-04-27 20:32:18'
'286', '005', 'Durango', '1', '10', '2017-04-27 20:32:18', '2017-04-27 20:32:18'
'335', '015', 'Guanajuato', '1', '11', '2017-04-27 20:32:18', '2017-04-27 20:32:18'
'395', '029', 'Chilpancingo de los Bravo', '1', '12', '2017-04-27 20:32:18', '2017-04-27 20:32:18'
'495', '048', 'Pachuca de Soto', '1', '13', '2017-04-27 20:32:18', '2017-04-27 20:32:18'
'570', '039', 'Guadalajara', '1', '14', '2017-04-27 20:32:18', '2017-04-27 20:32:18'
'762', '106', 'Toluca', '1', '15', '2017-04-27 20:32:19', '2017-04-27 20:32:19'
'834', '053', 'Morelia', '1', '16', '2017-04-27 20:32:19', '2017-04-27 20:32:19'
'901', '007', 'Cuernavaca', '1', '17', '2017-04-27 20:32:19', '2017-04-27 20:32:19'
'944', '017', 'Tepic', '1', '18', '2017-04-27 20:32:19', '2017-04-27 20:32:19'
'986', '039', 'Monterrey', '1', '19', '2017-04-27 20:32:19', '2017-04-27 20:32:19'
'1065', '067', 'Oaxaca de Juárez', '1', '20', '2017-04-27 20:32:19', '2017-04-27 20:32:19'
'1717', '114', 'Puebla', '1', '21', '2017-04-27 20:32:20', '2017-04-27 20:32:20'
'1834', '014', 'Querétaro', '1', '22', '2017-04-27 20:32:21', '2017-04-27 20:32:21'
'1842', '004', 'Othón P. Blanco', '1', '23', '2017-04-27 20:32:21', '2017-04-27 20:32:21'
'1876', '028', 'San Luis Potosí', '1', '24', '2017-04-27 20:32:21', '2017-04-27 20:32:21'
'1912', '006', 'Culiacán', '1', '25', '2017-04-27 20:32:21', '2017-04-27 20:32:21'
'1954', '030', 'Hermosillo', '1', '26', '2017-04-27 20:32:21', '2017-04-27 20:32:21'
'2000', '004', 'Centro', '1', '27', '2017-04-27 20:32:21', '2017-04-27 20:32:21'
'2054', '041', 'Victoria', '1', '28', '2017-04-27 20:32:21', '2017-04-27 20:32:21'
'2089', '033', 'Tlaxcala', '1', '29', '2017-04-27 20:32:21', '2017-04-27 20:32:21'
'2203', '087', 'Xalapa', '1', '30', '2017-04-27 20:32:21', '2017-04-27 20:32:21'
'2378', '050', 'Mérida', '1', '31', '2017-04-27 20:32:21', '2017-04-27 20:32:21'
'2490', '056', 'Zacatecas', '1', '32', '2017-04-27 20:32:22', '2017-04-27 20:32:22'
